410,1,V,Columbus Blue Jackets,176,205,1.5,-120,6.5,-110,6.5,-110
410,2,H,Tampa Bay Lightning,-210,-230,-1.5,100,6.5,-110,6.5,-110
410,3,V,Pittsburgh Penguins,-107,-105,1.5,-285,6,-110,5.5,110
410,4,H,New York Islanders,-113,-105,-1.5,234,6,-110,5.5,-130
410,5,V,St. Louis Blues,-102,100,1.5,-285,5.5,-110,5.5,-105
410,6,H,Winnipeg Jets,-118,-110,-1.5,234,5.5,-110,5.5,-115
410,7,V,Dallas Stars,144,140,1.5,-215,5,-110,5,-115
410,8,H,Nashville Predators,-165,-155,-1.5,180,5,-110,5,-105
410,9,V,Vegas Golden Knights,118,115,1.5,-235,6,-110,6,-120
410,10,H,San Jose Sharks,-138,-125,-1.5,195,6,-110,6,100
411,11,V,Toronto Maple Leafs,125,124,1.5,-220,6,-110,6,-115
411,12,H,Boston Bruins,-145,-134,-1.5,184,6,-110,6,-105
411,13,V,Carolina Hurricanes,125,135,1.5,-195,5.5,-110,5.5,-115
411,14,H,Washington Capitals,-145,-150,-1.5,166,5.5,-110,5.5,-105
411,15,V,Colorado Avalanche,158,170,1.5,-145,6,-110,6,-120
411,16,H,Calgary Flames,-183,-190,-1.5,125,6,-110,6,100
412,51,V,Columbus Blue Jackets,207,270,1.5,-110,6.5,-110,6.5,100
412,52,H,Tampa Bay Lightning,-250,-310,-1.5,-110,6.5,-110,6.5,-120
412,53,V,Pittsburgh Penguins,-130,-120,-1.5,218,5.5,-110,5.5,105
412,54,H,New York Islanders,110,110,1.5,-265,5.5,-110,5.5,-125
412,55,V,St. Louis Blues,100,116,1.5,-250,5.5,-110,5.5,110
412,56,H,Winnipeg Jets,-120,-126,-1.5,207,5.5,-110,5.5,-130
412,57,V,Vegas Golden Knights,115,117,1.5,-233,6.5,-110,6.5,100
412,58,H,San Jose Sharks,-135,-127,-1.5,194,6.5,-110,6.5,-120
413,61,V,Carolina Hurricanes,140,140,1.5,-200,5.5,-110,5.5,-120
413,62,H,Washington Capitals,-160,-155,-1.5,170,5.5,-110,5.5,100
413,63,V,Dallas Stars,138,145,1.5,-200,5,-110,5,-110
413,64,H,Nashville Predators,-158,-160,-1.5,170,5,-110,5,-110
413,65,V,Toronto Maple Leafs,128,132,1.5,-212,6,-110,6,-115
413,66,H,Boston Bruins,-148,-145,-1.5,178,6,-110,6,-105
413,67,V,Colorado Avalanche,195,180,1.5,-160,6,-110,6,-115
413,68,H,Calgary Flames,-235,-200,-1.5,140,6,-110,6,-105
414,21,V,New York Islanders,170,170,1.5,-182,5.5,-110,5.5,115
414,22,H,Pittsburgh Penguins,-200,-190,-1.5,157,5.5,-110,5.5,-135
414,23,V,Tampa Bay Lightning,-143,-140,-1.5,176,6,-110,6,-115
414,24,H,Columbus Blue Jackets,123,130,1.5,-210,6,-110,6,-105
414,25,V,Winnipeg Jets,140,140,1.5,-220,5.5,-110,5.5,110
414,26,H,St. Louis Blues,-160,-155,-1.5,184,5.5,-110,5.5,-130
414,27,V,San Jose Sharks,130,140,1.5,-190,6.5,-110,6.5,110
414,28,H,Vegas Golden Knights,-150,-155,-1.5,163,6.5,-110,6.5,-130
415,29,V,Boston Bruins,103,105,1.5,-255,6,-110,6,-110
415,30,H,Toronto Maple Leafs,-123,-115,-1.5,211,6,-110,6,-110
415,31,V,Washington Capitals,115,110,1.5,-235,6,-110,6,100
415,32,H,Carolina Hurricanes,-135,-120,-1.5,195,6,-110,6,-120
415,33,V,Nashville Predators,107,105,1.5,-270,5,-110,5,100
415,34,H,Dallas Stars,-127,-115,-1.5,222,5,-110,5,-120
415,35,V,Calgary Flames,-127,-115,-1.5,215,6,-110,6,-105
415,36,H,Colorado Avalanche,107,105,1.5,-260,6,-110,6,-115
416,37,V,Tampa Bay Lightning,-145,-130,-1.5,184,6,-110,6,100
416,38,H,Columbus Blue Jackets,125,120,1.5,-220,6,-110,6,-120
416,39,V,New York Islanders,148,150,1.5,-195,5.5,-110,5.5,130
416,40,H,Pittsburgh Penguins,-170,-165,-1.5,166,5.5,-110,5.5,-150
416,41,V,Winnipeg Jets,135,140,1.5,-215,5.5,-110,5.5,110
416,42,H,St. Louis Blues,-155,-155,-1.5,180,5.5,-110,5.5,-130
416,43,V,San Jose Sharks,135,155,1.5,-190,6.5,-110,6.5,-105
416,44,H,Vegas Golden Knights,-155,-170,-1.5,163,6.5,-110,6.5,-115
417,45,V,Boston Bruins,105,105,1.5,-265,6,-110,6,-105
417,46,H,Toronto Maple Leafs,-125,-115,-1.5,218,6,-110,6,-115
417,47,V,Nashville Predators,-105,110,1.5,-298,5,-110,5,115
417,48,H,Dallas Stars,-115,-120,-1.5,244,5,-110,5,-135
417,49,V,Calgary Flames,-115,-105,1.5,-300,6,-110,6,-110
417,50,H,Colorado Avalanche,-105,-105,-1.5,245,6,-110,6,-110
418,51,V,Washington Capitals,110,108,1.5,-227,6,-110,6,100
418,52,H,Carolina Hurricanes,-130,-118,-1.5,189,6,-110,6,-120
418,53,V,St. Louis Blues,110,110,1.5,-260,5.5,-110,5.5,105
418,54,H,Winnipeg Jets,-130,-120,-1.5,215,5.5,-110,5.5,-125
418,57,V,Vegas Golden Knights,103,-102,1.5,-285,6,-110,6,-120
418,58,H,San Jose Sharks,-123,-108,-1.5,234,6,-110,6,100
419,63,V,Toronto Maple Leafs,128,130,1.5,-210,6,-110,6,100
419,64,H,Boston Bruins,-148,-140,-1.5,176,6,-110,6,-120
419,65,V,Colorado Avalanche,151,150,1.5,-170,6,-110,6,-105
